openalex_id,level,parent_3,parent_2,parent_1,display_name,journals_count
C2776376669,2,,Medicine,Intensive care medicine,Intensive care unit,4
C519991488,2,,Computer science,Operating system,Python (programming language),4
C503872463,2,,Political science,Law,Distance education,4
C55958113,2,,Biology,Ecology,Indigenous,4
C71104824,2,,Computer science,Machine learning,Structural equation modeling,4
C50644808,2,,Computer science,Artificial intelligence,Artificial neural network,4
C12294951,2,,Biology,Paleontology,Cretaceous,4
C2775841894,2,,Computer science,Operating system,Sleep (system call),4
C2776541429,2,,Biology,Endocrinology,Osteoporosis,4
C16920402,2,,Economics,Economic growth,Social work,4
C100701293,2,,Biology,Agronomy,Germination,3
C2781291010,2,,Physics,Acoustics,Period (music),3
C2779747767,2,,Medicine,Dentistry,Root canal,3
C2781326671,2,,Medicine,Anesthesia,Apnea,3
C119128265,2,,Chemistry,Chromatography,Detection limit,3
C6648577,2,,Materials science,Composite material,Porosity,3
C2777082460,2,,Psychology,Developmental psychology,Early childhood,3
C129047720,2,,Political science,Law,Rural area,3
C134132462,2,,Materials science,Composite material,Ceramic,3
C2777472916,2,,Medicine,Internal medicine,Renal cell carcinoma,3
C2779338263,2,,Biology,Immunology,Lymphoma,3
C84269361,2,,Philosophy,Epistemology,Phenomenology (philosophy),3
C12770488,2,,Medicine,Psychiatry,Neurosurgery,3
C57442070,2,,Engineering,Environmental engineering,Sewage treatment,3
C3020255362,2,,Medicine,Physical medicine and rehabilitation,Physical activity,3
C2780618852,2,,Biology,Botany,Pollen,3
C19269812,2,,Engineering,Aerospace engineering,Satellite,3
C38349280,2,,Mathematics,Geometry,Flow (mathematics),3
C29829512,2,,Engineering,Aerospace engineering,Spacecraft,3
C108713360,2,,Political science,Law,Supply chain,3
C2776412080,2,,Computer science,Programming language,Schizophrenia (object-oriented programming),3
C190283241,2,,Biology,Biochemistry,Apoptosis,3
C20625102,2,,Materials science,Composite material,Corrosion,3
C3017579018,2,,Medicine,Family medicine,Medical journal,3
C530175646,2,,Geography,Archaeology,Clothing,3
C2780653484,2,,Biology,Botany,Hymenoptera,3
C514101110,2,,Biology,Ecology,Fishing,3
C105923489,2,,Chemistry,Organic chemistry,Combustion,3
C119513131,2,,Business,Advertising,Journalism,3
C177756618,2,,Biology,Botany,Lepidoptera genitalia,3
C60229501,2,,Computer science,Operating system,Global Positioning System,3
C164767435,2,,Geography,Archaeology,Textile,3
C126285488,2,,Economics,Keynesian economics,Monetary policy,3
C192562157,2,,Philosophy,Linguistics,Rhetorical question,3
C141261163,2,,Biology,Ecology,Corporate social responsibility,3
C71750763,2,,Business,Finance,General partnership,3
C2778527774,2,,Biology,Neuroscience,Glaucoma,3
C2778461978,2,,Biology,Genetics,Leukemia,3
C165901193,2,,Biology,Immunology,Helminths,3
C53565203,2,,Biology,Ecology,Species richness,3
